country_name,avg_pm25,Country Code_x,year,population_density,Country Code_y,gdp_per_capita,log_gdp,gdp_group
cambodia,19.49056603773585,KHM,2005.0,76.1341604350782,KHM,525.797325120926,6.2649158250270895,Low
cambodia,19.49056603773585,KHM,2006.0,77.2661907999094,KHM,612.252648550727,6.417145021753059,Low
cambodia,19.49056603773585,KHM,2007.0,78.4147405393157,KHM,731.692295125426,6.59536006373399,Low
cambodia,19.49056603773585,KHM,2008.0,79.6140890550646,KHM,866.283999789749,6.764212799130411,Low
cambodia,19.49056603773585,KHM,2009.0,80.8792771357353,KHM,875.748936193569,6.775079447339284,Low
cambodia,19.49056603773585,KHM,2010.0,82.1477792884659,KHM,952.274616324008,6.858853455719269,Low
cambodia,19.49056603773585,KHM,2011.0,83.4046227056424,KHM,1088.98152823081,6.992998160650268,Low
cambodia,19.49056603773585,KHM,2012.0,84.6651087695445,KHM,1192.80263041673,7.084060968693511,Low
cambodia,19.49056603773585,KHM,2013.0,85.9404486743712,KHM,1305.6600972686,7.174464013533902,Low
cambodia,19.49056603773585,KHM,2014.0,87.2239519601178,KHM,1431.56396469993,7.266522807228274,Low
cambodia,19.49056603773585,KHM,2015.0,88.5069737140267,KHM,1547.32010444393,7.344279748653593,Medium
cambodia,19.49056603773585,KHM,2016.0,89.8074042601405,KHM,1675.19555711109,7.42368518795844,Medium
cambodia,19.49056603773585,KHM,2017.0,91.0569453886245,KHM,1826.35391688754,7.510076863232533,Medium
cambodia,19.49056603773585,KHM,2018.0,92.1964763199638,KHM,2036.67377566578,7.619073253998369,Medium
cambodia,19.49056603773585,KHM,2019.0,93.3679129843644,KHM,2225.87705485686,7.707906298889181,Medium
cambodia,19.49056603773585,KHM,2020.0,94.7511556764106,KHM,2081.73914242939,7.64095894950458,Medium
cambodia,19.49056603773585,KHM,2021.0,96.160803308407,KHM,2167.40324198499,7.681285067282272,Medium
cambodia,19.49056603773585,KHM,2022.0,97.4491502379334,KHM,2325.03050040841,7.75148843639064,Medium
cambodia,19.49056603773585,KHM,2023.0,98.7076818490823,KHM,2429.74853452838,7.795543047246606,Medium
canada,6.486288481141692,CAN,1961.0,2.03790269240507,CAN,2246.08356619252,7.716943341281446,Medium
canada,6.486288481141692,CAN,1962.0,2.0761600742394,CAN,2274.4284708191,7.729484078205636,Medium
canada,6.486288481141692,CAN,1963.0,2.1151982189683,CAN,2380.31732899108,7.774989089286522,Medium
canada,6.486288481141692,CAN,1964.0,2.15546327681725,CAN,2561.63849088572,7.848402368240475,Medium
canada,6.486288481141692,CAN,1965.0,2.19483603421526,CAN,2777.18317301162,7.929192445884679,Medium
canada,6.486288481141692,CAN,1966.0,2.23610493007153,CAN,3055.28807884507,8.024629164654261,Medium
canada,6.486288481141692,CAN,1967.0,2.27670460058959,CAN,3226.38273682011,8.079116892943588,Medium
canada,6.486288481141692,CAN,1968.0,2.31373506930386,CAN,3473.23722551871,8.152842356060273,Medium
canada,6.486288481141692,CAN,1969.0,2.34541173531246,CAN,3776.15613110238,8.236461874689807,Medium
canada,6.486288481141692,CAN,1970.0,2.37842685199747,CAN,4135.82149842006,8.327441257234701,Medium
canada,6.486288481141692,CAN,1971.0,2.44959138216224,CAN,4535.39338907773,8.419667103897954,Medium
canada,6.486288481141692,CAN,1972.0,2.47819306927932,CAN,5106.73708049128,8.538315943139363,Medium
canada,6.486288481141692,CAN,1973.0,2.50867784496057,CAN,5858.33407318788,8.675620554301709,Medium
canada,6.486288481141692,CAN,1974.0,2.54394512798377,CAN,7056.70847496589,8.86173400009595,Medium
canada,6.486288481141692,CAN,1975.0,2.5813443398594,CAN,7536.52009823861,8.927515829033814,Medium
canada,6.486288481141692,CAN,1976.0,2.61553428162564,CAN,8838.94710677652,9.08692304296979,High
canada,6.486288481141692,CAN,1977.0,2.64632255099776,CAN,8949.10989272982,9.099309352996814,High
canada,6.486288481141692,CAN,1978.0,2.67279710537734,CAN,9154.43325277735,9.12199354943348,High
canada,6.486288481141692,CAN,1979.0,2.69938107809971,CAN,10077.5026707269,9.218060760010081,High
canada,6.486288481141692,CAN,1980.0,2.73441758991879,CAN,11208.2027394178,9.324401176666393,High
canada,6.486288481141692,CAN,1981.0,2.76835266836873,CAN,12379.0368643833,9.423759745504862,High
canada,6.486288481141692,CAN,1982.0,2.80148233412413,CAN,12527.3135323802,9.435666622059777,High
canada,6.486288481141692,CAN,1983.0,2.82931195827603,CAN,13477.1031699599,9.508747463001407,High
canada,6.486288481141692,CAN,1984.0,2.85614811741335,CAN,13930.4745502555,9.541834132974317,High
canada,6.486288481141692,CAN,1985.0,2.88236647002595,CAN,14170.1249406067,9.558891149908147,High
canada,6.486288481141692,CAN,1986.0,2.91116122865311,CAN,14521.1800806,9.58336355784493,High
canada,6.486288481141692,CAN,1987.0,2.94978924978724,CAN,16377.6902109541,9.703675334701561,High
canada,6.486288481141692,CAN,1988.0,2.98828599121753,CAN,19012.5723278349,9.852855740785685,High
canada,6.486288481141692,CAN,1989.0,3.04238549833307,CAN,20794.682233334,9.942452571143402,High
canada,6.486288481141692,CAN,1990.0,3.08860186557717,CAN,21525.8611387148,9.977010334940053,High
canada,6.486288481141692,CAN,1991.0,3.12722531367149,CAN,21846.7930471354,9.991809418453624,High
canada,6.486288481141692,CAN,1992.0,3.16446145763971,CAN,20950.3305287651,9.949909702255187,High
canada,6.486288481141692,CAN,1993.0,3.19942848156117,CAN,20186.7988782965,9.912784148875035,High
canada,6.486288481141692,CAN,1994.0,3.23466308408036,CAN,19997.6237373354,9.90336873234406,High
canada,6.486288481141692,CAN,1995.0,3.26830816488374,CAN,20679.634792669,9.936904668537462,High
canada,6.486288481141692,CAN,1996.0,3.30265135925243,CAN,21296.9723536904,9.96632019857501,High
canada,6.486288481141692,CAN,1997.0,3.33563636079723,CAN,21901.5628548392,9.994313276493024,High
